,Hydraulique,Nucleaire
0,4950375.5,40144025.5
1,4986610.5,36071544.0
2,5158078.0,35519717.0
3,4495297.0,31733705.5
4,5515370.0,31645684.5
5,5768351.0,28538871.5
6,4384585.0,29174703.0
7,3735917.0,27699808.5
8,2573090.0,27511545.0
9,3789807.0,29107289.5
10,6390363.5,29119567.5
11,7754294.5,32963255.5
